ID,Confronto,White_Wins,Black_Wins,Draws,Avg_Moves
T1,Random_vs_Random,52,42,6,46.59
T2,Minimax1_vs_Minimax1,56,38,6,34.20
T3,Minimax2_vs_Minimax2,48,46,6,44.80
T4,Minimax1_vs_Random,97,1,2,22.15
T5,Minimax2_vs_Random,100,0,0,16.40
T6,Minimax2_vs_Minimax1,82,12,6,28.90
T7,MCTS_vs_Minimax2,54,40,6,38.50

    ID,Confronto,White_Wins,Black_Wins,Draws,Avg_Moves
    T1,Random_vs_Random,52,42,6,46.59
    T2,Minimax1_vs_Minimax1,50,50,0,6.0
    T3,Minimax2_vs_Minimax2,48,46,6,44.80
    T4,Minimax1_vs_Random,97,1,2,22.15
    T5,Minimax2_vs_Random,100,0,0,16.40
    T6,Minimax2_vs_Minimax1,82,12,6,28.90
    T7,MCTS_vs_Minimax2,54,40,6,38.50       
